# Designator,Pitch,Rrot,Dsupport,r0,z0,r1,z1,r2,z2,r3,z3
RMS-ext,0.7056,9.5829,19.1859,0.0,-0.3274,0.0,0.3273,0.4932,0.0706,0.4932,-0.0706
RMS-int,0.7055,-10.3042,20.5085,0.0,0.2630,0.0,-0.2630,0.4808,-0.0127,0.4808,0.0127
